iter	RMSE
187	0.4220712653
188	0.4187011032
189	0.4180136785
190	0.4152441476
191	0.4124787163
192	0.4096955484
193	0.4072855868
194	0.4052142588
195	0.4027205646
196	0.4020323707
197	0.4013269556
198	0.4007395483
199	0.4000337808
200	0.3993243479
201	0.3986898756
202	0.3980754133
203	0.3974694459
204	0.3961580675
205	0.3955653505
206	0.3949654887
207	0.3944026478
208	0.3938393641
209	0.3932773896
210	0.3928056811
211	0.3923320001
212	0.3893434244
213	0.3888560428
214	0.3866243037
215	0.3861127904
216	0.3856193102
217	0.3852044421
218	0.3823662204
219	0.3798973404
220	0.3794478202
221	0.3789878635
222	0.3775290986
223	0.3771269045
224	0.3745663099
225	0.3729592171
226	0.3706286682
227	0.3698371792
228	0.368749489
229	0.3684125958
230	0.3680213151
231	0.3673231574
232	0.3667146994
233	0.3645661201
234	0.3642586098
235	0.3639568973
236	0.3632949143
237	0.3630041822
238	0.3627189439
239	0.3607186807
240	0.3596494844
241	0.3587336704
242	0.3584111225
243	0.3580936894
244	0.3578386217
245	0.3572831266
246	0.3554683448
247	0.3552273867
248	0.3549910089
249	0.3547591271
250	0.3544799575
251	0.354204856
252	0.3536651162
253	0.3534504659
254	0.3532399102
255	0.3527188111
256	0.3505069197
257	0.3484871174
258	0.3469605261
259	0.346765837
260	0.345194715
261	0.3450074879
262	0.3430522785
263	0.3414662005
264	0.3410106997
265	0.3408354654
266	0.3393135273
267	0.3378099635
268	0.3360162338
269	0.3344674542
270	0.3343054144
271	0.3341464904
272	0.3328699768
273	0.3310961859
274	0.3309451064
275	0.3301280933
276	0.3289417529
277	0.3285213733
278	0.3269384944
279	0.3265029107
280	0.3261945342
281	0.3242474944
282	0.3241160096
283	0.3238383387
284	0.3226349123
285	0.3214289495
286	0.3213065172
287	0.3210380495
288	0.31975879
289	0.3186366214
290	0.3173668476
291	0.3162925425
292	0.3161472494
293	0.3150659459
294	0.314959805
295	0.3148557237
296	0.3138659929
297	0.3128852574
298	0.3126456785
299	0.3117293698
300	0.3106302532
301	0.3100632409
302	0.3099712145
303	0.3098549817
304	0.3084684006
305	0.3083334521
306	0.3071416105
307	0.3062345008
308	0.3052585127
309	0.3049218388
310	0.3043835712
311	0.3042805692
312	0.302876841
313	0.3017309746
314	0.301657299
315	0.300473449
316	0.300377671
317	0.3003077032
318	0.2994132193
319	0.2983656334
320	0.2970866169
321	0.2958633446
322	0.2958000099
323	0.295186016
324	0.2941392793
325	0.2939859365
326	0.2939270647
327	0.2928888223
328	0.2920995351
329	0.2913525169
330	0.2900585257
331	0.2894931273
332	0.2885956341
333	0.2876233711
334	0.2871518725
335	0.2861296763
336	0.2851527223
337	0.2841659542
338	0.2832672182
339	0.282443581
340	0.2823984499
341	0.2815265398
342	0.2806193169
343	0.2797427651
344	0.2787992004
345	0.2779128094
346	0.2771609405
347	0.2764516823
348	0.2756415793
349	0.2749206118
350	0.2742984661
351	0.2733938162
352	0.2725274866
353	0.2718378956
354	0.2710961454
355	0.2704997141
356	0.2698309974
357	0.2690227561
358	0.2683093469
359	0.2676556818
360	0.2668864237
361	0.2661012787
362	0.2654129647
363	0.2649745924
364	0.2640289402
365	0.263111925
366	0.2624098596
367	0.2619545742
368	0.2610468301
369	0.2603254096
370	0.2596055021
371	0.2590833397
372	0.2584006259
373	0.257590383
374	0.256717446
375	0.2566846194
376	0.2559845776
377	0.2555975355
378	0.2549429941
379	0.254237458
380	0.2541868167
381	0.2534486331
382	0.2530229402
383	0.2525366229
384	0.2521237372
385	0.251563216
386	0.2511153837
387	0.2504980605
388	0.2498106564
389	0.2490906943
390	0.2483574439
391	0.2477760354
392	0.2472292963
393	0.246643755
394	0.2462514028
395	0.2456849434
396	0.2450917798
397	0.2444462405
398	0.2436840885
399	0.2430806298
400	0.2423498679
401	0.2418332253
402	0.2413027745
403	0.2406918123
404	0.2401403994
405	0.2396179871
406	0.2392513797
407	0.239024891
408	0.2386260834
409	0.2381566529
410	0.2376578785
411	0.2373240585
412	0.2366699067
413	0.2359805019
414	0.2355387895
415	0.2349613075
416	0.2344088505
417	0.2341057205
418	0.2337565129
419	0.233207932
420	0.2327014699
421	0.2322257738
422	0.2318432948
423	0.2314342594
424	0.2310326064
425	0.2305740842
426	0.2299131822
427	0.2294715115
428	0.2288906717
429	0.2284566969
430	0.2275086223
431	0.2270129525
432	0.226533464
433	0.2260759923
434	0.2255079424
435	0.225275246
436	0.2247365958
437	0.2241502773
438	0.2238976077
439	0.2232927151
440	0.2227897888
441	0.2222102202
442	0.2219653712
443	0.2216515057
444	0.2210691248
445	0.2203985251
446	0.2201995075
447	0.2199684336
448	0.2196085276
449	0.2192588761
450	0.2185091927
451	0.2178393486
452	0.2176086187
453	0.2174157919
454	0.2171351334
455	0.2167328394
456	0.2161692229
457	0.2158195818
458	0.2155564677
459	0.215175094
460	0.2146471854
461	0.2143208939
462	0.2138796901
463	0.2135094853
464	0.2133127565
465	0.2125590015
466	0.2122023778
467	0.211907606
468	0.2113445972
469	0.2108514289
470	0.2106756336
471	0.2104638992
472	0.2101594606
473	0.2094597827
474	0.2091755149
475	0.2087047253
476	0.2084913903
477	0.2080450541
478	0.2078793007
479	0.2076850216
480	0.2074531465
481	0.2068030523
482	0.2066110878
483	0.2059256302
484	0.2055139625
485	0.2052850761
486	0.2050292262
487	0.2044008897
488	0.2040923561
489	0.2037251203
490	0.2035725935
491	0.2029742605
492	0.2025137695
493	0.2021844283
494	0.2016475331
495	0.2012267874
496	0.2010499735
497	0.2008462914
498	0.2002455347
499	0.1997945097
500	0.1992962154
501	0.1990171106
502	0.1986399419
503	0.1984573698
504	0.1980552309
505	0.1975930586
506	0.1972751618
507	0.1971348973
508	0.1964398868
509	0.195946971
510	0.1957135536
511	0.1954280339
512	0.1952932223
513	0.1948598334
514	0.1942932159
515	0.1938296054
516	0.1935862058
517	0.1935478818
518	0.1929270113
519	0.1924945632
520	0.192277346
521	0.1919757952
522	0.1915191678
523	0.1911016517
524	0.1908399372
525	0.1904189505
526	0.1902079025
527	0.1898351448
528	0.1896185479
529	0.1894413967
530	0.1892345149
531	0.1887301864
532	0.1885533908
533	0.1884215817
534	0.1878618014
535	0.1873931716
536	0.1868206738
537	0.186317119
538	0.1861704305
539	0.1861510103
540	0.1859299373
541	0.1854234489
542	0.1850178261
543	0.1846675635
544	0.184271814
545	0.1838545105
546	0.1834792163
547	0.1830634986
548	0.1827581518
549	0.1827375955
550	0.1823009874
551	0.1819298446
552	0.1814414357
553	0.1811061019
554	0.1809243415
555	0.1805003302
556	0.1803236919
557	0.1798281858
558	0.1795513751
559	0.1793553089
560	0.1788861198
561	0.1785326947
562	0.1782728539
563	0.178022485
564	0.1775880905
565	0.1772835822
566	0.1769140355
567	0.1766398386
568	0.1762844795
569	0.175912717
570	0.1756196719
571	0.1753286398
572	0.174911578
573	0.1745344319
574	0.1741449257
575	0.173851263
576	0.1735582343
577	0.1731128573
578	0.1726815972
579	0.1722390457
580	0.1718488359
581	0.1714984725
582	0.1712439653
583	0.1708485128
584	0.1707206515
585	0.1703998206
586	0.1702125189
587	0.1699079531
588	0.1696623196
589	0.169500802
590	0.1691786346
591	0.1688201368
592	0.1684166717
593	0.1681813509
594	0.1679901986
595	0.1676480352
596	0.1674511168
597	0.1673903442
598	0.1670960629
599	0.1668556299
600	0.1666314934
601	0.1664561756
602	0.1661988089
603	0.1661814164
604	0.1659960954
605	0.165652513
606	0.1654824601
607	0.165077757
608	0.1648711327
609	0.1647346177
610	0.1643315019
611	0.1639822763
612	0.1635917977
613	0.1633333464
614	0.1630862294
615	0.1626974058
616	0.1623818781
617	0.1619868714
618	0.1619047122
619	0.161618215
620	0.1614655287
621	0.1612300649
622	0.1609268675
623	0.1607278133
624	0.1603327365
625	0.1603003311
626	0.1599470009
627	0.1598026846
628	0.1594994111
629	0.1592701082
630	0.1592560143
631	0.1589871478
632	0.1587855284
633	0.1587241865
634	0.1585531748
635	0.1582700672
636	0.1579295753
637	0.1577788908
638	0.1573680031
639	0.1571416964
640	0.156921972
641	0.1566333695
642	0.1564566509
643	0.1562628752
644	0.1560477987
645	0.155972662
646	0.1556925842
647	0.1554979581
648	0.155481574
649	0.1554494335
650	0.1551465178
651	0.1547934153
652	0.1545737585
653	0.1543019278
654	0.1540564322
655	0.1537855024
656	0.1535555367
657	0.1534344448
658	0.153353183
659	0.1531859879
660	0.1528511348
661	0.1527547649
662	0.1524789376
663	0.1522536969
664	0.1519706199
665	0.1516433131
666	0.1514858819
667	0.151456947
668	0.1514283717
669	0.1511667211
670	0.150996244
671	0.1507616378
672	0.1505675186
673	0.1503267884
674	0.150231928
675	0.1499167158
676	0.1496370548
677	0.1495658728
678	0.1493944501
679	0.1491021828
680	0.1489175762
681	0.1487133676
682	0.1485610387
683	0.1482379582
684	0.148161322
685	0.1479055198
686	0.1477247888
687	0.1474810935
688	0.147397198
689	0.147247634
690	0.1469850239
691	0.1468518453
692	0.1466717878
693	0.1465137956
694	0.1463251135
695	0.1462962983
696	0.1462513416
697	0.1461402263
698	0.1460421447
699	0.1457685972
700	0.1455503474
701	0.1455362052
702	0.1454057957
703	0.1452551938
704	0.1450475051
705	0.1447778228
706	0.1445959758
707	0.1444896966
708	0.1442817414
709	0.144127071
710	0.1441032751
711	0.1439769823
712	0.1439526847
713	0.1436372183
714	0.1435807673
715	0.1433093394
716	0.1430560951
717	0.1428471833
718	0.1425728358
719	0.1423985053
720	0.1422852518
721	0.1420088322
722	0.1417787829
723	0.1417065606
724	0.1414530996
725	0.1412570701
726	0.1411670846
727	0.141010551
728	0.1407876822
729	0.1405371645
730	0.1404287236
731	0.1403024853
732	0.1401736404
733	0.1400480036
734	0.140038197
735	0.1398111005
736	0.1396291659
737	0.1394850657
738	0.1392734121
739	0.1389249464
740	0.1389003835
741	0.1386049023
742	0.1384218211
743	0.1382057495
744	0.1381375564
745	0.1379466014
746	0.1377920358
747	0.1375369401
748	0.1374221705
749	0.1371757117
750	0.1369720534
751	0.1366369724
752	0.1365387248
753	0.1365162629
754	0.1363338572
755	0.1361185551
756	0.1361094672
757	0.1360497405
758	0.1358144274
759	0.1356802263
760	0.1354046388
761	0.1352174159
762	0.1351204512
763	0.1350262382
764	0.1348809815
765	0.1347277511
766	0.1346204368
767	0.1344026797
768	0.13415033
769	0.133972628
770	0.1339076294
771	0.1337285656
772	0.1336140168
773	0.1334277445
774	0.1331651619
775	0.1330238897
776	0.1328965145
777	0.1327299668
778	0.1326153355
779	0.1324633949
780	0.1322586991
781	0.1319796027
782	0.1317268196
783	0.1316542756
784	0.1314059201
785	0.1312371739
786	0.1311082148
787	0.1308552308
788	0.1307040966
789	0.1304976308
790	0.1303538683
791	0.1302302527
792	0.1301432001
793	0.1300633308
794	0.130043693
795	0.1298690635
796	0.1297491539
797	0.129530006
798	0.1294040544
799	0.1293087547
800	0.1291232722
801	0.1289679245
802	0.1288823133
803	0.1287391164
804	0.1285262996
805	0.1284534371
806	0.1283195821
807	0.128239168
808	0.1279463102
809	0.1278424913
810	0.1275900463
811	0.1274049883
812	0.1272059509
813	0.1270097567
814	0.1268136011
815	0.1266163728
816	0.1265607437
817	0.1264587201
818	0.1263564302
819	0.1261422705
820	0.1259573618
821	0.1257575503
822	0.1256419631
823	0.1255144513
824	0.1253313539
825	0.1251721939
826	0.1249253035
827	0.1246561477
828	0.1243892746
829	0.124378618
830	0.1241367163
831	0.1240708897
832	0.1239903737
833	0.1238396041
834	0.1237186582
835	0.1235322255
836	0.1233521228
837	0.1232128225
838	0.1231931962
839	0.123113261
840	0.1230320258
841	0.1228579219
842	0.1227548928
843	0.1226535245
844	0.1224659073
845	0.1224475146
846	0.1222395693
847	0.1221723048
848	0.1219847704
849	0.1218515266
850	0.1217707655
851	0.1215811985
852	0.1213152615
853	0.1211292521
854	0.1209196519
855	0.1206743411
856	0.1205729034
857	0.120429282
858	0.1202776064
859	0.1200646292
860	0.119943276
861	0.1198562968
862	0.1197446394
863	0.1196324352
864	0.1194871783
865	0.1193777521
866	0.1192777262
867	0.1191702272
868	0.1190410955
869	0.118806996
870	0.1187121049
871	0.118582712
872	0.1184388281
873	0.1183189696
874	0.1182584409
875	0.1181607155
876	0.118045674
877	0.1178466848
878	0.1176217542
879	0.1174952211
880	0.1173011077
881	0.1172822468
882	0.1171293024
883	0.1169893432
884	0.1169328484
885	0.1168261097
886	0.116742707
887	0.1166973362
888	0.116661766
889	0.1165998248
890	0.1164810495
891	0.1163884167
892	0.1162710705
893	0.1162045109
894	0.1161865789
895	0.1160282145
896	0.1158778283
897	0.1158237122
898	0.1156620667
899	0.1154648158
900	0.1153398415
901	0.115161909
902	0.1150955682
903	0.114965841
904	0.1147571111
905	0.1147402799
906	0.1145744659
907	0.1145573413
908	0.1145502588
909	0.1143832414
910	0.1143323482
911	0.1141594225
912	0.1141003695
913	0.1139698116
914	0.1137947191
915	0.1135972051
916	0.1135253446
917	0.1133889097
918	0.1133446097
919	0.113183117
920	0.1130844092
921	0.1130256816
922	0.1129721505
923	0.1128120776
924	0.1127262757
925	0.1125525549
926	0.1124359424
927	0.1122595934
928	0.1120943328
929	0.1120248358
930	0.1120134517
931	0.1119383216
932	0.1118219427
933	0.1116984297
934	0.1115292727
935	0.1113958997
936	0.1112685758
937	0.1111903443
938	0.1110900628
939	0.1109796541
940	0.1107803778
941	0.1106933911
942	0.110591035
943	0.1104966584
944	0.11039798
945	0.1103194723
946	0.110266344
947	0.1102575242
948	0.1101814909
949	0.1101144605
950	0.1100646577
951	0.1099935508
952	0.1099466332
953	0.1098412885
954	0.1097132027
955	0.1095986994
956	0.1095898885
957	0.1095263527
958	0.1093513048
959	0.1091644904
960	0.1089827962
961	0.1088727567
962	0.1088089806
963	0.1087387793
964	0.1085522981
965	0.1083742389
966	0.1082219065
967	0.1081465399
968	0.1080608607
969	0.1079774954
970	0.1078905917
971	0.1077814876
972	0.1076549286
973	0.1076094513
974	0.1074509154
975	0.1073017188
976	0.1071229533
977	0.1070230125
978	0.1068431044
979	0.1068237262
980	0.1067881964
981	0.1065847553
982	0.1064467654
983	0.1063337505
984	0.1062313473
985	0.1061447696
986	0.1060555372
987	0.1058674352
988	0.1057294288
989	0.1055704417
990	0.1054250951
991	0.1053033418
992	0.105187705
993	0.1050909872
994	0.1050392401
995	0.1049727139
996	0.1048202739
997	0.1046847106
998	0.1046393099
999	0.1044761526
